seed,scenario,mode,centralized,projection,steps,n_agents,noise_std,C,policy_ids,violation_rate,collision_rate,mean_drift,p95_drift,mean_latency_ms
2059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['52703295016c1cf79098cb22bc2a9f664569c52a50a5dd440966a50511422a21', 'df0fa0130603d71fda34ca1f2b71680493908a17594493faf7436c84ee2128d1', 'da294ff453438fcf158af252ad4579b239ecfc386f703490fdb1693a03a9df0f', 'dc287d0884bcc30207c114b71b0161edbba68856fd9cff500e6b9f54f1357a3b', '64a94d53a6e7bc691ebbc5a6e6fdf70d9630359f43a1aeb6f8e711aa2ad3958d']",0.795,0.0,7.171552719715454,19.56932090469792,10.343707080173772
1059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['ee809243f79d521319fd182ee8d24579df2776466a96c358295f3b73cfac235d', '8478fa007a636aee84f04ef9abd821b4fe3c54b0b32ce37014015e95bdad4864', 'f6e3b91dcaa4f7b8f356a02d9c83f5f2269eb15de0aac406fed64a4469e7ce78', '27b5a517722d353fd5f14df95568fa6edfb63da7baf7d04c9062a32e77e4d049', '81ee24dfc14a221eb477e2d02ba005c222a7fd2625b4ee976b65c7eef5caa285']",0.0,0.0,16.421310413854123,26.663717497565873,0.03530520465574227
12059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['a4a42c8e0b27deeb187391435d864b400d6d9c72c3343e82f4a55f0502a2344b', 'e91722668da86276e5940126bd70284912200d6473f3668e4f7a47759f36a158', 'b24e2ee8c8e67881f7a64cd9c8d5be45928418c163d9894b1d402f93f0e7de1b', '187f75937d9666281a621e78577358d1a83b3f0f70c849659e683709308cf1ae', 'b046cfa6c729114d915b2ee64ef3c6dcb81fef0bc9a4c2550915d636a7025f54']",0.925,0.0,11.32366328357873,36.52201736799884,9.983623949228786
26059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['d071e419e5706c21ca22273cc31f9d617a84132b1ed0b38b2cc7b23b0fb48f7a', '349202410f1feaea5a5f9e8be0b4a2304a81892ebfaf240ec71ce6ed9ac8e2b6', '8df54c454ba42deee478bf5a53c4cfedff0cbf85e2774a618c2afdb402e293bc', '33428c6f445cd39366bf938692f3f130e3174d6187677dedfb9e1243a84ddb0c', 'f58d7779400fd3665802657cf92010ca55580cd6f5874bbb84a864fdff12c42c']",0.84,0.0,12.192326228521058,24.048263419653033,9.663762889249483
11059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['522b30309d05f358adaee9b283e7127add4fd84ee1b32183f915a6f5e618a925', '86b5f42d79bc528b76007b7cf629974662382f896ddc62a602df40820e9beb73', '7edd58a44398676348c0cb47eb18909d6496ec6ed250192fbb1eca8545e7838b', '019ce88f0f2fe4abc1e3fe56beb7c101cf774b2e23654bd988b1731e0130b902', '7fc061cf3f80bbc1af8a4713161146f18386a449630e02531d3f78a2d5a57eb2']",1.0,0.0,0.0,0.0,0.0007058298797346652
25059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['5c7a111dbefc85c57b85e35d155457853fc29c72e2076303364516b8ee2b7785', 'e00564dd31eb010603ed201f0d26f6e4df583ae269a7968ab5954a12718fc55b', '28637d11599d501b375d549098b9361648786b7a24ace190c8b6fcb9e1f32538', '1da2242b0347b8aed800d0b2080b3abc6810b987ac48ff61e255dde0b1b7e215', 'f29056ae28c96dfe01fd816dc76b60c9a18a124a2e49d2fbb9884c56356e4e84']",1.0,0.0,0.0,0.0,0.000668934517307207
6059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['121eac6f2a5bd5cf7f5b56d6d3bb100a62dff1aeea089042ebc5a6b0c80ede52', '2543582bfa813ae15f167d428746a910b5384da92b373a1904c610358134ef9f', '05884552d61e3e389472fabd89ab2e793f8463bd4b220fba022a976cf7d9af1e', '623686e46e084c052c0387012e6fab6db1a1981f55c8c5be88c24a647e944bf0', 'e19e7ebdf9de13be17cea15444900458bd584c5f557b1537d1873ffe7935545e']",0.875,0.0,8.976851668321084,37.33172513613225,9.325044378492748
59,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['e6afdda58a5c9be184acc8040109c025855788bd4bf42011ff9ed160bf923fda', '19688004f13030b8131d1c2e462372028a83786d4df6a50dc140ba0b8aac5783', '5255d0f9f79f7a1e3940cc6449c0404ea98a4cbf2dae692d12ae4748927ad8e8', 'fff5d84704c1c2d096b71525ab0b47663ae518ae305c1005b3beb4822df08097', 'c67db82245c646bb50f47a396e499af3da8fc7bba695ab7a1d0cd4c39b2c6292']",0.92,0.0,10.071094785530637,23.70607692529687,10.750028330367059
9059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['f84fdec5d2042efecb4f6322adcfe55aba964274016ada13c4945bc6f2145c59', '56ba9a1bc64d0456168107338394e48ab3fbb4138445096bc1840c27c8a7ca22', 'ae8972ceeab0a77492b53c34ee8047406719c49c74a4e0ce737b69060c33cfff', 'a27940496f047103ff0c5b2e53f931c8820ddbde411c97067cdf15e03294914d', '0906d565adfd7c68d59df269e3ae0813b419cb2444e153b41914bc60194a530e']",1.0,0.0,0.0,0.0,0.0006793905049562454
22059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['63dd02a7dc0e92dfabad7a4b025de70abb0e2dda8fd37d5f2f07dc1659c6d7ab', '30725b5a1935dd1b62de0cdf681726dca8de664c73ddc36cc2558f2d9128e27d', '5578e85822e97d081639d33a81b652dd845bec2788b8350fafc5a2a632975f2b', '14510a32bf46805e2b2f3237c48913e5b2821a3b1f0f7b7befb00e8569a28833', '374ed8d6264a984a9e24dab31c5e31354a45d38d97df1c1c80cb297243c4460e']",0.86,0.0,17.386701901620693,32.60396738079306,10.687397075380431
